,City,Country,Max Temp,weather_description,Lat,Lng,Hotel Name
2,Hilo,US,82.13,scattered clouds,19.7297,-155.09,Dolphin Bay Hotel
7,Atuona,PF,78.69,overcast clouds,-9.8,-139.0333,Pearl Resort
12,Cape Town,ZA,75.9,clear sky,-33.9258,18.4232,Townhouse Hotel
19,Alice Springs,AU,88.21,clear sky,-23.7,133.8833,Aurora Alice Springs
35,Kapaa,US,81.48,scattered clouds,22.0752,-159.319,Pono Kai Resort
36,Sabanagrande,CO,82.49,clear sky,10.7912,-74.7606,Hotel Las Olas de Malambo
49,Kavieng,PG,82.8,overcast clouds,-2.5744,150.7967,Kavieng Hotel
52,Rikitea,PF,77.63,clear sky,-23.1203,-134.9692,Chez Bianca & Benoit
53,Vaini,TO,84.36,scattered clouds,-21.2,-175.2,Keleti International Resort
54,Avarua,CK,80.65,few clouds,-21.2078,-159.775,Paradise Inn
59,Cayenne,GF,75.24,broken clouds,4.9333,-52.3333,Central Hôtel
60,Ler,SS,75.74,overcast clouds,8.3018,30.1418,Green Hotel
66,Yulara,AU,89.51,clear sky,-25.2406,130.9889,Outback Pioneer Hotel & Lodge
72,Santa Cruz,BO,87.26,few clouds,-17.8,-63.1667,Aviador Hotel Boutique
78,Santiago,CL,80.55,clear sky,-33.4569,-70.6483,apart arturo prat
84,Batticaloa,LK,77.02,broken clouds,7.7102,81.6924,Lake View Hotel
87,Mahebourg,MU,79.09,broken clouds,-20.4081,57.7,Grand Bel Air
91,Saint-Philippe,RE,76.59,scattered clouds,-21.3585,55.7679,Le Baril
96,Mount Isa,AU,78.57,overcast clouds,-20.7333,139.5,Ibis Styles
97,Kloulklubed,PW,81.9,overcast clouds,7.0419,134.2556,The Adventures Inn
98,Bathsheba,BB,77.61,few clouds,13.2167,-59.5167,Atlantis Hotel
99,Granville,AU,79.21,broken clouds,-33.8333,151.0167,APX Parramatta
100,Villa Del Rosario,CO,75.58,broken clouds,7.8339,-72.4742,Acapulco
110,Sorong,ID,80.65,overcast clouds,-0.8833,131.25,Hotel Membramo Marina
118,Sao Filipe,CV,76.39,overcast clouds,14.8961,-24.4956,Bela Vista
119,Palu,ID,77.67,broken clouds,-0.8917,119.8707,Ujung Pandang Hotel
121,Acapulco,MX,81.03,few clouds,16.8634,-99.8901,Hotel del Valle
128,Sao Joao Da Barra,BR,78.89,clear sky,-21.6403,-41.0511,Pousada Mediterrâneo
134,Juntas,CR,75.63,scattered clouds,10.2809,-84.9595,Hospedaje El Encanto
135,Santa Rosa,PH,78.78,overcast clouds,14.3122,121.1114,JARS RESORT
141,Port-Gentil,GA,82.36,few clouds,-0.7193,8.7815,Tara-Mé
144,Mahibadhoo,MV,80.06,overcast clouds,3.7833,72.9667,Coral View Inn
145,Pisco,PE,75.25,clear sky,-13.7,-76.2167,La Portada
147,Georgetown,MY,76.93,few clouds,5.4112,100.3354,Page 63 hostel
149,Praia,CV,77.54,clear sky,14.9215,-23.5087,Casa Sodadi
155,Labuan,MY,75.56,few clouds,5.2767,115.2417,Labuan Avenue Hotel
159,Puerto Ayora,EC,82.36,broken clouds,-0.7393,-90.3518,Hostal La Mirada De Solitario George
165,Cabo San Lucas,MX,77.61,few clouds,22.8909,-109.9124,Comfort Rooms
185,Coro,VE,77.58,clear sky,11.4045,-69.6734,Urumaco Suite
192,Nouakchott,MR,75.13,overcast clouds,18.0858,-15.9785,فندق أدرار
194,Hithadhoo,MV,79.21,few clouds,-0.6,73.0833,Pebbles Inn
196,Faanui,PF,80.47,overcast clouds,-16.4833,-151.75,Oa Oa Lodge
210,Ballina,AU,78.78,broken clouds,-28.8667,153.5667,Ballina Beach Resort
213,Omboue,GA,78.01,light rain,-1.5746,9.2618,Georges Faustin Aurat
222,Puerto Narino,CO,75.22,broken clouds,-3.7703,-70.3831,Eco Hotel Euare
233,Neiafu,TO,83.46,broken clouds,-18.65,-173.9833,Port Wine Guest House
246,Port Hedland,AU,84.25,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
259,Inhambane,MZ,78.1,broken clouds,-23.865,35.3833,Hotel de Inhambane
262,Canberra,AU,76.44,scattered clouds,-35.2835,149.1281,Rydges Lakeside
279,Ho Chi Minh City,VN,75.22,few clouds,10.75,106.6667,Khách Sạn Hoàng Nam
285,Karratha,AU,81.88,broken clouds,-20.7377,116.8463,Karratha International Hotel
290,George Town,MY,76.95,few clouds,5.4112,100.3354,Page 63 hostel
302,Port Moresby,PG,80.56,overcast clouds,-9.4431,147.1797,The Sanctuary Hotel and Spa
314,Noumea,NC,82.38,overcast clouds,-22.2763,166.4572,Hotel Gondwana
316,Lazaro Cardenas,MX,80.31,few clouds,17.9583,-102.2,Hotel Sol del Pacífico
321,Warri,NG,75.97,overcast clouds,5.5167,5.75,Warri Sapele Road
333,Machali,CL,77.58,clear sky,-34.1833,-70.6667,Hotel Boutique Il Giardino
338,Tual,ID,83.21,overcast clouds,-5.6667,132.75,Suita
340,Barabai,ID,75.0,overcast clouds,-2.5833,115.3833,Hotel Bouraq
