City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,weather_description
0,Saskylakh,RU,71.9167,114.0833,-28.71,99,60,7.18,broken clouds
1,Mataura,NZ,-46.1927,168.8643,64.26,60,93,7.47,overcast clouds
2,Hilo,US,19.7297,-155.09,82.13,69,40,11.5,scattered clouds
3,Qaanaaq,GL,77.484,-69.3632,-9.54,55,77,6.22,broken clouds
4,Albany,US,42.6001,-73.9662,32.27,62,75,5.55,broken clouds
5,Bluff,NZ,-46.6,168.3333,60.67,73,20,11.39,few clouds
6,Sitka,US,57.0531,-135.33,42.69,81,75,3.44,light rain
7,Atuona,PF,-9.8,-139.0333,78.69,72,100,16.87,overcast clouds
8,Te Anau,NZ,-45.4167,167.7167,68.67,47,6,2.91,clear sky
9,Barrow,US,71.2906,-156.7887,-25.04,100,100,13.18,overcast clouds
10,Ushuaia,AR,-54.8,-68.3,51.42,57,75,32.21,broken clouds
11,George,ZA,-33.963,22.4617,67.55,100,100,6.91,overcast clouds
12,Cape Town,ZA,-33.9258,18.4232,75.9,68,0,11.01,clear sky
13,Akdepe,TM,42.0551,59.3788,12.29,43,100,7.96,overcast clouds
14,Esmeraldas,BR,-19.7625,-44.3139,79.11,81,50,6.04,scattered clouds
15,Hobart,AU,-42.8794,147.3294,68.25,69,75,10.36,broken clouds
16,Dinghai,CN,26.2847,119.7936,43.72,73,100,13.35,overcast clouds
17,Mar Del Plata,AR,-38.0023,-57.5575,70.83,87,20,14.97,few clouds
18,Busselton,AU,-33.65,115.3333,57.13,60,13,9.91,few clouds
19,Alice Springs,AU,-23.7,133.8833,88.21,40,3,3.0,clear sky
20,Bukachacha,RU,52.9833,116.9167,-22.9,99,28,3.47,scattered clouds
21,Hermanus,ZA,-34.4187,19.2345,72.81,82,53,14.94,broken clouds
22,Longyearbyen,SJ,78.2186,15.6401,17.44,62,20,23.02,few clouds
23,Punta Arenas,CL,-53.15,-70.9167,55.51,30,0,25.32,clear sky
24,Airai,TL,-8.9266,125.4092,65.21,81,79,0.98,broken clouds
25,Shache,CN,38.4167,77.2406,-6.02,97,13,2.44,few clouds
26,Timizart,DZ,36.8,4.2667,49.21,63,63,9.44,broken clouds
27,Severo-Kurilsk,RU,50.6789,156.125,19.27,64,80,9.64,broken clouds
28,Kashi,CN,39.4547,75.9797,4.21,66,6,8.95,smoke
29,Poli,TZ,-3.3333,36.8,57.67,79,5,4.72,clear sky
30,Ormara,PK,25.2088,64.6357,65.37,42,49,5.39,scattered clouds
31,Hofn,IS,64.2539,-15.2082,30.52,59,100,24.38,overcast clouds
32,Esperance,AU,-33.8667,121.9,62.2,53,44,15.05,scattered clouds
33,Tura,IN,25.5198,90.2201,49.68,56,0,2.75,clear sky
34,Bredasdorp,ZA,-34.5322,20.0403,70.2,89,98,16.96,overcast clouds
35,Kapaa,US,22.0752,-159.319,81.48,65,40,6.91,scattered clouds
36,Sabanagrande,CO,10.7912,-74.7606,82.49,69,0,12.66,clear sky
37,Victoria,HK,22.2855,114.1577,55.94,83,100,11.99,overcast clouds
38,Bud,US,39.447,-86.1758,45.68,96,100,14.0,light rain
39,Yellowknife,CA,62.456,-114.3525,5.52,85,100,10.36,light snow
40,Flensburg,DE,54.7833,9.4333,39.09,81,100,12.66,light rain
41,Tsimlyansk,RU,47.6461,42.1019,28.49,93,14,8.66,few clouds
42,Tasiilaq,GL,65.6145,-37.6368,15.28,64,100,9.06,overcast clouds
43,Loukhi,RU,66.0764,33.0381,32.9,96,99,14.83,overcast clouds
44,Miyang,CN,24.4042,103.4428,44.06,85,100,3.51,overcast clouds
45,Sivaki,RU,52.6333,126.75,-32.82,100,100,2.71,overcast clouds
46,Vostok,RU,46.4856,135.8833,-19.43,97,74,4.85,broken clouds
