City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Nyurba,RU,2023-01-16 01:53:41,63.2842,118.3319,-72.63,100,85,2.98
1,Tuatapere,NZ,2023-01-16 01:53:42,-46.1333,167.6833,75.63,43,29,3.85
2,Kavieng,PG,2023-01-16 01:53:42,-2.5744,150.7967,83.05,75,88,7.23
3,Bambous Virieux,MU,2023-01-16 01:53:42,-20.3428,57.7575,79.05,78,40,12.66
4,Jamestown,US,2023-01-16 01:53:43,42.097,-79.2353,22.64,72,0,3.44
5,Ushuaia,AR,2023-01-16 01:51:45,-54.8,-68.3,53.26,58,75,5.75
6,Peachland,CA,2023-01-16 01:53:43,49.7665,-119.7357,40.15,93,100,1.77
7,Hilo,US,2023-01-16 01:50:13,19.7297,-155.09,78.94,78,40,13.8
8,New Norfolk,AU,2023-01-16 01:53:44,-42.7826,147.0587,67.91,37,0,3.0
9,Busselton,AU,2023-01-16 01:53:45,-33.65,115.3333,71.13,47,1,16.6
10,Fare,PF,2023-01-16 01:53:45,-16.7,-151.0167,79.56,67,100,19.24
11,Atuona,PF,2023-01-16 01:53:46,-9.8,-139.0333,78.13,75,100,13.8
12,Cape Town,ZA,2023-01-16 01:50:00,-33.9258,18.4232,70.21,75,0,20.71
13,Osypenko,UA,2023-01-16 01:53:46,46.9136,36.8253,30.94,83,86,4.59
14,Rikitea,PF,2023-01-16 01:53:47,-23.1203,-134.9692,77.95,72,10,12.1
15,Maceo,CO,2023-01-16 01:53:47,6.552,-74.7874,64.83,98,57,2.98
16,Sao Filipe,CV,2023-01-16 01:53:48,14.8961,-24.4956,75.29,67,69,5.7
17,Berlevag,NO,2023-01-16 01:53:34,70.8578,29.0864,30.15,80,40,12.66
18,Arraial Do Cabo,BR,2023-01-16 01:53:48,-22.9661,-42.0278,74.64,89,98,24.0
19,Qaanaaq,GL,2023-01-16 01:53:49,77.484,-69.3632,-7.8,60,25,7.11
20,Margate,GB,2023-01-16 01:53:49,51.3813,1.3862,43.9,87,100,7.0
21,Leh,IN,2023-01-16 01:53:50,34.1667,77.5833,-5.08,75,11,2.44
22,At-Bashi,KG,2023-01-16 01:53:50,41.1702,75.8106,-12.23,58,0,3.29
23,Georgetown,MY,2023-01-16 01:53:46,5.4112,100.3354,82.33,92,20,6.91
24,Constitucion,CL,2023-01-16 01:53:51,-35.3333,-72.4167,56.73,79,25,11.54
25,Vardo,NO,2023-01-16 01:53:51,70.3705,31.1107,33.78,86,100,26.46
26,Churapcha,RU,2023-01-16 01:53:51,62.0025,132.4325,-48.1,95,100,4.81
27,Lienz,AT,2023-01-16 01:53:52,46.8289,12.769,35.89,95,100,4.5
28,Fairbanks,US,2023-01-16 01:50:33,64.8378,-147.7164,6.76,79,0,3.44
29,Dikson,RU,2023-01-16 01:53:53,73.5069,80.5464,-33.79,92,5,4.32
30,Brazzaville,CG,2023-01-16 01:52:40,-4.2658,15.2832,72.39,93,100,0.74
31,Ponta Do Sol,PT,2023-01-16 01:53:53,32.6667,-17.1,64.71,73,44,6.55
32,Mataura,NZ,2023-01-16 01:53:33,-46.1927,168.8643,81.36,31,9,8.43
33,Bingerville,CI,2023-01-16 01:53:54,5.3584,-3.8869,81.54,94,20,3.44
34,Kayerkan,RU,2023-01-16 01:53:54,69.3497,87.7602,-37.71,89,5,5.21
